2MASS J00402492+0900547,0,40,24.927,9,0,54.73,45.744180,T7
2MASS J06433670-0223130,6,43,36.70432,-2,23,13.20268,45.742511,
L 611-67,11,16,37.63292,-27,57,19.24037,45.736418,M3.5V
Ross 987,7,18,8.18072,39,16,29.30801,45.729620,M0V
* alf For,3,12,4.5298,-28,59,15.43915,45.658562,F6V
Ross 802,15,36,58.6241,-14,8,1.75092,45.638181,dM4.0
PM J14551+3006,14,55,11.45381,30,6,45.39262,45.634797,M3.8
G 204-39,17,57,50.96606,46,35,19.12768,45.619286,M2.5V
L 465-84,10,39,44.34818,-37,55,13.57446,45.609845,M2Ve
1RXS J050514.2-475625,5,5,14.42843,-47,56,15.52628,45.607676,
LSPM J1015+1729,10,15,53.9398,17,29,27.06811,45.587723,M3.5V
LP 411-6,2,46,34.71433,16,25,10.20364,45.549460,M6V
G 245-71,3,21,21.78068,79,58,2.15324,45.515263,M2.0V
WISE J032337.53-602554.5,3,23,36.83097,-60,25,52.7766,45.488982,T8.5
WISE J105553.59-165216.3,10,55,54.3871,-16,52,21.2086,45.488982,T9.5
2MASS J08195820-0335266,8,19,58.20648,-3,35,26.646,45.488982,T4
L 174-28,2,37,52.78845,-58,45,11.06392,45.486254,M3V
HD 5133,0,53,1.13486,-30,21,24.89106,45.472556,K2.5Vk:
SCR J1626-3812,16,26,51.68119,-38,12,32.57859,45.465520,dM6.5
HD 23356,3,43,55.34283,-19,6,39.2333,45.456965,K2V
L 489-3,18,29,24.24074,-34,57,45.23549,45.451454,
G 44-43,10,52,14.24964,5,55,9.82916,45.428158,dM5.5
HD 281621,4,8,37.39905,33,38,13.33194,45.411649,K7V
* 10 Tau,3,36,52.3837,0,24,5.9921,45.402230,F9IV-V
PM J04429+2128,4,42,55.86136,21,28,22.95506,45.359861,M3.5V
Ross 486,13,28,21.0795,-2,21,37.0186,45.299444,M2V
2MASSI J2254188+312349,22,54,18.92016,31,23,49.83,45.299444,T5.0
* 47 UMa,10,59,27.97275,40,25,48.92057,45.295041,G1-VFe-0.5
SCR J0736-3024,7,36,56.68451,-30,24,16.39521,45.255509,
WT 887,22,13,50.46427,-63,42,10.01027,45.252432,M5/6e
WISEA J032309.12-590751.0,3,23,8.37064,-59,7,56.4422,45.236616,T7
2MASSI J1300425+191235,13,0,42.50821,19,12,34.59865,45.211408,L1.7V
BD+52 911,5,3,23.90197,53,7,42.48405,45.190610,M0.5V
Wolf 414,12,28,57.59287,8,25,31.14743,45.132454,M4V
Ross 848,14,20,7.37035,-9,37,13.39001,45.096261,M3.5V
L 387-102,8,27,11.83317,-44,59,21.12468,44.916284,M3.5V
2MASS J03140344+1603056,3,14,3.44252,16,3,5.47228,44.906203,L0
HD 166,0,6,36.78401,29,1,17.41269,44.899156,G8V
G 18-49,22,27,2.80594,6,49,32.63154,44.874693,dM5.0
G 125-30,19,45,49.74827,32,23,13.66235,44.863274,M1.5V
2MASS J08575849+5708514,8,57,58.47214,57,8,51.41403,44.851120,L7V
Ross 1020,13,22,56.74758,24,28,3.59885,44.846926,M4V
WISE J225540.75-311842.0,22,55,40.48938,-31,18,40.3707,44.801648,T8
WISE J150115.92-400418.4,15,1,15.64423,-40,4,14.8693,44.801648,T6
HD 154577,17,10,10.351,-60,43,43.58035,44.768564,K2.5Vk:
L 524-15,6,17,47.11066,-34,1,11.66382,44.756339,
BD+09 2636,12,31,15.80508,8,48,38.16466,44.744366,M0V
G 227-28,18,21,19.83103,61,1,7.38335,44.708546,DA10
BD+39 2376,10,45,21.48679,38,30,42.30379,44.686801,K7/M0V
WISE J030449.03-270508.3,3,4,48.95107,-27,5,13.3539,44.617784,Y0pec
LP 463-23,23,37,35.98456,16,22,3.28787,44.612657,M5.5V
1RXS J033609.2+311853,3,36,8.70185,31,18,39.51679,44.552083,M4.5V
* iot Psc,23,39,57.0406,5,37,34.65391,44.534320,F7V
L 473-1,13,20,3.85682,-35,24,43.91643,44.511407,M3V
UPM J0838-2843,8,38,33.74389,-28,43,26.33977,44.486151,
APMPM J2331-2750,23,31,21.74413,-27,49,49.60801,44.448442,M7.0V
LP 911-56,13,46,46.04676,-31,49,25.52544,44.410132,M6
G 165-58,14,15,56.3761,36,16,37.36506,44.399612,M3.5V
HD 331161,19,46,23.92746,32,1,1.43905,44.399129,M0.5V+M2.5V
G 8-41,4,33,33.96303,20,44,45.8421,44.366093,M5V
HD 22496,3,35,0.93987,-48,25,8.90851,44.362955,K5V
* bet Aql,19,55,18.79284,6,24,24.35124,44.359938,G8IV
HD 145417,16,13,48.55885,-57,34,13.84399,44.345885,K3VFe-1.7
APMPM J2330-4737,23,30,16.16787,-47,36,45.08218,44.315156,M6e
WISE J035934.06-540154.6,3,59,34.24998,-54,1,46.4287,44.314674,Y0
BD+36 1970,9,31,56.33293,36,19,12.82353,44.257188,M1V
G 205-28,18,31,58.37507,40,41,11.01051,44.249622,M3.5V
G 137-84,16,9,16.26508,9,21,7.54648,44.243860,M3.0Ve
* tet UMa,9,32,51.43093,51,40,38.33331,44.177579,F7V
